original_2021,adjusted_2021,target_2025
4.89,4.96,4.92
4.44,4.63,4.87
5.0,5.0,4.81
4.95,5.0,4.71
4.87,4.94,5.0
4.77,4.86,4.93
4.88,4.95,4.86
4.8,4.89,4.8
4.02,4.5,4.88
4.7,4.82,5.0
4.78,4.87,4.96
4.9,4.97,4.86
4.93,5.0,4.89
4.75,4.86,4.77
4.86,4.93,4.79
4.62,4.75,4.68
4.55,4.71,4.71
4.77,4.86,4.76
4.86,4.93,4.56
4.91,5.0,4.59
4.9,4.97,4.75
4.71,4.83,4.57
4.75,4.86,4.68
4.77,4.86,4.81
4.69,4.81,4.5
4.97,5.0,4.97
4.87,4.94,4.73
4.84,4.92,4.83
4.77,4.86,4.82
4.47,4.64,4.88
4.79,4.88,4.88
4.27,4.53,4.88
4.77,4.86,4.93
4.55,4.71,4.92
4.88,4.95,4.94
4.61,4.75,4.89
5.0,5.0,4.7
4.0,4.5,4.83
4.85,4.92,4.95
4.76,4.86,4.5
4.75,4.86,4.92
4.75,4.86,4.86
4.46,4.64,4.88
4.76,4.86,4.78
4.75,4.86,4.63
4.85,4.92,4.86
4.57,4.73,4.83
5.0,5.0,4.75
4.75,4.86,4.79
4.79,4.88,4.94
4.3,4.55,4.89
4.46,4.64,4.9
4.89,4.96,4.87
4.65,4.77,4.58
4.76,4.86,4.78
4.3,4.55,5.0
4.96,5.0,4.66
4.8,4.89,4.85
4.86,4.93,4.89
4.5,4.69,4.82
4.78,4.87,4.83
4.86,4.93,4.88
4.95,5.0,4.64
4.83,4.91,4.82
5.0,5.0,4.77
4.71,4.83,4.98
4.57,4.73,4.88
4.82,4.9,4.86
4.86,4.93,4.85
4.47,4.64,4.74
4.89,4.96,4.74
4.91,5.0,5.0
4.92,5.0,4.9
4.84,4.92,4.37
4.57,4.73,4.87
3.6,4.25,4.96
4.83,4.91,4.88
4.72,4.83,4.78
5.0,5.0,4.91
4.85,4.92,4.84
4.88,4.95,4.59
5.0,5.0,4.41
4.52,4.7,4.62
4.88,4.95,4.82
4.85,4.92,4.88
4.67,4.8,4.86
4.86,4.93,4.75
4.73,4.83,4.97
4.6,4.75,4.77
4.79,4.88,4.8
4.85,4.92,5.0
4.72,4.83,4.57
4.55,4.71,4.89
4.7,4.82,4.89
4.9,4.97,4.93
4.61,4.75,4.8
4.88,4.95,4.8
4.5,4.69,4.78
4.77,4.86,4.86
4.78,4.87,4.97
4.74,4.84,4.98
4.72,4.83,4.87
4.74,4.84,5.0
4.73,4.83,5.0
4.94,5.0,5.0
4.88,4.95,4.89
4.89,4.96,4.91
4.89,4.96,4.84
4.75,4.86,4.33
4.0,4.5,4.98
4.64,4.77,4.7
4.86,4.93,4.82
4.84,4.92,4.76
4.9,4.97,4.83
4.74,4.84,4.81
5.0,5.0,4.8
4.91,5.0,4.71
4.94,5.0,4.87
4.65,4.77,4.89
4.78,4.87,4.72
4.87,4.94,4.9
4.62,4.75,4.99
4.86,4.93,4.71
4.89,4.96,4.7
4.92,5.0,4.75
4.84,4.92,5.0
4.84,4.92,4.85
4.76,4.86,4.81
4.76,4.86,4.94
4.61,4.75,4.73
4.88,4.95,4.72
4.87,4.94,4.95
4.55,4.71,4.95
4.44,4.63,4.74
4.79,4.88,4.94
4.53,4.71,4.89
4.65,4.77,4.92
4.59,4.74,4.76
4.86,4.93,4.83
4.73,4.83,4.83
4.97,5.0,5.0
4.87,4.94,4.91
4.83,4.91,4.63
4.71,4.83,4.6
4.89,4.96,4.89
4.86,4.93,4.71
4.4,4.61,4.78
4.86,4.93,4.93
4.83,4.91,4.83
4.82,4.9,4.57
4.72,4.83,4.94
4.95,5.0,4.9
4.84,4.92,4.8
4.85,4.92,4.95
5.0,5.0,4.88
4.84,4.92,5.0
4.2,4.5,4.91
4.86,4.93,4.88
4.95,5.0,4.93
4.88,4.95,4.91
