feature,importance
host_response_rate,5944.674543137497
price,4352.637518889086
room_type,3851.1015551014702
accommodates,3786.9326399367496
host_response_time,2829.835812688063
beds,2148.5446380828334
review_scores_location,1702.6476774086032
amenity_dryer,1551.1139128345887
number_of_reviews,1470.7994461148064
bathrooms,1182.4565015242965
minimum_nights,1128.1949951312781
amenity_building_staff,957.7255800132339
amenity_freezer,941.7708696261847
reviews_per_month,931.2139462139658
amenity_free_parking_on_premises,928.6827658211279
review_scores_value,904.9776435379767
amenity_free_street_parking,846.3049903038857
amenity_indoor_fireplace,794.9190861185015
calculated_host_listings_count_shared_rooms,792.772865177023
amenity_dishwasher,785.8402909064464
neighbourhood_cleansed,716.2552771266066
amenity_security_cameras_on_property,714.2269449791465
host_acceptance_rate,687.8795879467189
amenity_cable_tv,675.0379625061166
amenity_high_chair,673.1250044834048
calculated_host_listings_count,659.6975491729676
amenity_washer,652.5723918383003
amenity_washer_in_unit,627.0311981808742
review_scores_rating,599.170732634864
amenity_kitchen,594.3512509022105
host_has_profile_pic,568.6309829719459
amenity_marie_stella_maris_body_soap,559.0678862578413
amenity_hdtv_with_netflix,552.8642460707969
amenity_elevator,542.7279591497935
amenity_cleaning_products,542.4032401101013
amenity_luggage_dropoff_allowed,532.7219139487922
bedrooms,530.3141985849369
amenity_iron,495.526670437643
amenity_crib,493.5518295208858
amenity_dryer_in_unit,471.3427422948447
amenity_bathtub,467.89816087528015
amenity_private_hot_tub,467.0307322087718
amenity_piano,463.3501861756921
amenity_baby_safety_gates,455.81451475779795
amenity_private_patio_or_balcony,454.65325649180886
amenity_ceiling_fan,452.50935353397483
amenity_tv_with_standard_cable,448.74028410890764
amenity_bbq_grill,437.1576517184346
amenity_private_entrance,435.588008948021
review_scores_cleanliness,428.348473758497
amenity_portable_air_conditioning,428.0511896423724
bathrooms_text,424.2009297552285
minimum_nights_avg_ntm,423.7987753961323
amenity_tv,423.26356817399636
amenity_baking_sheet,420.2481458070719
amenity_hair_dryer,415.8225928563021
amenity_lake_access,414.53606546674183
amenity_fire_pit,408.36330076176466
maximum_nights,406.1300016079643
amenity_bread_maker,404.6541715890871
amenity_private_garden_or_backyard,404.1660227844436
amenity_wifi_300_mbps,393.3424878613468
amenity_microwave,388.1640927447878
amenity_hot_tub,387.8855743145856
amenity_gym,382.72119125313947
amenity_shared_gym_in_building,380.41959045991405
amenity_paid_washer_in_building,377.0244948284063
license,376.65832883219446
amenity_window_guards,373.16507577247773
amenity_sonos_sound_system,372.88580967318285
number_of_reviews_ltm,369.5968739908508
amenity_clothing_storage_wardrobe_and_closet,367.0316869979034
amenity_clothing_storage_closet_wardrobe_and_dresser,366.80723523688897
amenity_patio_or_balcony,361.82179355602125
amenity_game_console,359.02114067166707
maximum_nights_avg_ntm,358.46373667052933
host_is_superhost,349.03530977764837
review_scores_accuracy,348.67865742460623
amenity_hot_water_kettle,348.5682043015031
amenity_paid_parking_garage_on_premises_60_spaces,343.7182692186444
amenity_mini_fridge,336.88722005965445
amenity_sound_system,328.90204727237824
amenity_essentials,324.980602461092
amenity_paid_valet_parking_on_premises,315.3802473981689
amenity_dove_body_soap,310.61167203261925
amenity_electric_stove,310.43150761497975
amenity_free_parking_garage_on_premises,310.39188938751346
amenity_sound_system_with_bluetooth_and_aux,310.001195457357
amenity_outdoor_dining_area,303.2717743417596
amenity_baby_bath,302.9204780812818
amenity_rituals_conditioner,297.61567269575505
amenity_children_s_books_and_toys_for_ages_0_2_years_old_2_5_years_old_and_5_10_years_old,293.87264214279827
amenity_rice_maker,289.5001711282219
amenity_dishes_and_silverware,285.8386073203999
amenity_hot_water,283.222545975158
amenity_paid_parking_off_premises,281.9722082766888
calculated_host_listings_count_private_rooms,281.87281952685044
amenity_stainless_steel_gas_stove,279.4884669058307
amenity_fire_extinguisher,277.75377906921074
amenity_paid_parking_garage_on_premises_1_space,277.67360735973716
amenity_fireplace_guards,274.3837003481867
amenity_andrelon_conditioner,271.47408286623204
amenity_wifi_500_mbps,269.00753270566753
amenity_keypad,263.8063980707549
amenity_extra_pillows_and_blankets,263.52727867544587
review_scores_communication,259.3586066638079
amenity_shared_garden_or_backyard,256.033211779409
amenity_clothing_storage_walk_in_closet,252.50515854755076
amenity_outdoor_furniture,250.91802193082765
amenity_bidet,249.8360156867609
amenity_bosch_refrigerator,240.73389268973438
amenity_sonos_bluetooth_sound_system,240.28822409475515
amenity_single_level_home,238.93704858588228
amenity_portable_fans,233.20260661754122
amenity_clothing_storage_dresser_and_closet,232.64199585793867
amenity_hdtv,230.63389768003316
amenity_outlet_covers,229.35586870249972
amenity_waterfront,227.09624962501863
amenity_liebherr_refrigerator,226.4480616637809
amenity_clothing_storage_dresser_and_wardrobe,225.6556368913875
amenity_free_washer_in_building,225.48328903207613
amenity_dining_table,224.39856165101827
amenity_hdtv_with_netflix_standard_cable,224.0490100636988
amenity_children_s_dinnerware,220.74175783990313
amenity_paid_parking_garage_off_premises,219.80511197756925
amenity_paid_parking_on_premises,219.26343787416158
amenity_ev_charger,218.14912048903136
amenity_dedicated_workspace_office_chair_and_desk,217.0453263066892
amenity_induction_stove,214.72872375881684
amenity_children_s_books_and_toys_for_ages_0_2_years_old_and_2_5_years_old,214.29906113100776
amenity_cleaning_before_checkout,214.20910104725075
amenity_beach_essentials,214.17441794676427
amenity_hangers,212.25751622165143
amenity_babysitter_recommendations,212.10611704493658
amenity_shampoo,206.39285789076757
amenity_beachfront,206.09683747991235
amenity_barbecue_utensils,205.99713805335426
amenity_private_fenced_garden_or_backyard,205.5663725222804
amenity_drying_rack_for_clothing,204.8820845623058
amenity_ping_pong_table,204.2096537234571
amenity_long_term_stays_allowed,204.1273017907655
calculated_host_listings_count_entire_homes,201.92597836755323
amenity_changing_table,196.95310855431046
amenity_shower_gel,195.53735868831848
amenity_pour_over_coffee,194.08013836347018
amenity_smoke_alarm,192.9398848995844
amenity_hdtv_with_chromecast,192.42816808136746
amenity_body_soap,189.59998593689673
amenity_nespresso_machine,188.69226294967413
amenity_paid_parking_lot_on_premises,185.39560588907787
review_scores_checkin,181.7568885251439
amenity_lock_on_bedroom_door,181.4755216522845
amenity_air_conditioning,180.55917830877587
amenity_tv_with_netflix,180.12867632518203
amenity_children_s_books_and_toys_for_ages_0_2_years_old,179.3031835028684
amenity_bikes,179.1741717871463
amenity_clothing_storage_closet_and_dresser,178.30399107007113
amenity_hdtv_with_standard_cable,178.20209101491636
amenity_bed_linens,176.49672534192376
amenity_wifi_250_mbps,175.067727458281
amenity_pool,172.6726831999233
amenity_board_games,170.22850461632817
amenity_free_dryer_in_unit,169.569475514214
amenity_mosquito_net,166.92914528628506
amenity_carbon_monoxide_alarm,164.3714393098859
number_of_reviews_l30d,164.34642661299688
amenity_children_s_books_and_toys,163.96253577978175
amenity_smeg_stainless_steel_oven,162.1276746950624
amenity_paid_parking_garage_on_premises,159.44691210684562
amenity_stainless_steel_oven,158.77708519397305
amenity_central_heating,156.93044266415438
amenity_backyard,151.1718048325404
amenity_shared_sauna,147.9368426569361
amenity_bluetooth_sound_system,147.58382618333974
amenity_clothing_storage_closet,143.9691356126017
amenity_game_console_nintendo_wii,142.28680867637934
amenity_conditioner,139.10217814103532
amenity_boat_slip,137.67098442718762
host_total_listings_count,136.5152413466626
host_listings_count,136.51524134665306
amenity_wifi_200_mbps,135.80027436410055
amenity_free_dryer,132.59050487994895
amenity_free_washer_in_unit,132.54210824264686
amenity_wifi_50_mbps,129.796098166479
amenity_children_s_books_and_toys_for_ages_5_10_years_old,129.3206042246131
amenity_free_dryer_in_building,126.96613522547864
amenity_children_s_books_and_toys_for_ages_5_10_years_old_and_10_years_old,119.34150885056746
amenity_tv_with_chromecast,118.91724687747289
amenity_clothing_storage,115.25503290647703
amenity_paid_parking_lot_off_premises,112.74556347737234
amenity_shared_patio_or_balcony,110.57823237963147
amenity_dedicated_workspace_table_and_office_chair,108.51179463555367
amenity_smart_lock,108.28504514621883
amenity_stove,106.7432776292535
amenity_table_corner_guards,102.14208797641874
amenity_clothing_storage_wardrobe,101.81788265881704
amenity_sound_system_with_aux,101.65018404821339
amenity_outdoor_shower,101.466751519164
amenity_keurig_coffee_machine,98.78609448679143
amenity_dedicated_workspace_desk,96.10364927768639
amenity_record_player,95.86205365855119
amenity_rituals_shampoo,95.60544046979265
