iterations,depth,learning_rate,l2_leaf_reg,cv_auc,test_auc
400,6,0.03,5,0.886546311358899,0.8875607252555044
600,4,0.03,3,0.8865133576200869,0.887368552154947
800,4,0.03,3,0.8865120674078191,0.8880905181180492
600,6,0.03,5,0.8865018503360833,0.888074716085908
800,6,0.03,5,0.8864864975729047,0.888074716085908
600,4,0.03,5,0.8863994678829807,0.8881722469079416
400,4,0.05,5,0.8863920355840734,0.8878616435234861
800,4,0.03,5,0.8863801526878525,0.8886892961961791
800,4,0.05,5,0.8863731381972029,0.8884874379791478
600,4,0.05,5,0.8863731381972029,0.8884874379791478
600,4,0.03,1,0.8862828627736127,0.8876286909851445
800,4,0.03,1,0.8862828627736127,0.8884833600353693
400,6,0.03,1,0.8862720780151824,0.8880514378235063
400,4,0.03,3,0.8862207996074222,0.8863045486574305
800,6,0.03,1,0.8861764986448287,0.8888626088067614
600,6,0.03,1,0.8861764986448287,0.8888626088067614
400,6,0.03,3,0.8861586241931806,0.8882402126375818
400,4,0.03,1,0.8861529360246262,0.8865500748557555
400,4,0.05,3,0.886086423856003,0.8876254626129866
600,6,0.03,3,0.8860851300617895,0.8890027881241441
800,6,0.03,3,0.8860851300617895,0.8892435567213944
400,4,0.05,1,0.8860730725523299,0.8876786457964302
800,4,0.05,3,0.8860500013103652,0.8884629703164773
600,4,0.05,3,0.8860500013103652,0.8883384231169117
800,4,0.05,1,0.8860304020615715,0.8886174224370846
600,4,0.05,1,0.8860304020615715,0.8886174224370846
400,4,0.03,5,0.8860140694138089,0.8872800267920907
800,6,0.01,3,0.8858353851344839,0.8867242370379583
800,6,0.05,3,0.8857883228626546,0.8890061864106261
600,6,0.05,3,0.8857883228626546,0.8890061864106261
400,6,0.05,3,0.8857883228626546,0.888704418571024
600,8,0.03,3,0.8857460435446406,0.8880065804419439
800,8,0.03,3,0.8857460435446406,0.8880065804419439
400,8,0.03,3,0.8856999929993518,0.8880065804419439
800,8,0.01,3,0.8856630856595992,0.8872961686528802
800,8,0.01,5,0.8856471839766756,0.8871349199593089
800,8,0.01,1,0.8855744524639121,0.8874429746289029
800,6,0.01,1,0.8855419794355601,0.8865876259213818
400,6,0.05,5,0.8855142392431992,0.888758791154736
800,6,0.05,5,0.8855142392431992,0.8893924016693064
600,6,0.05,5,0.8855142392431992,0.8893924016693064
800,6,0.01,5,0.8854950838951666,0.8863762525022009
400,8,0.03,5,0.8854543561003778,0.8877214642061033
600,8,0.03,5,0.8853178290505164,0.8881069998074871
800,8,0.03,5,0.8853178290505164,0.8885380724477295
400,6,0.05,1,0.8852970136591579,0.8891249565231722
600,6,0.05,1,0.8852970136591579,0.8894737906305503
800,6,0.05,1,0.8852970136591579,0.8894737906305503
400,8,0.03,1,0.8852481048819468,0.8869780890381642
600,8,0.03,1,0.885169440328131,0.8876351477294603
800,8,0.03,1,0.885169440328131,0.8877622436438874
600,8,0.01,3,0.8851191779543824,0.886423998427273
600,8,0.05,5,0.8850802842583653,0.887163805394406
800,8,0.05,5,0.8850802842583653,0.887163805394406
400,8,0.05,5,0.8850802842583653,0.887163805394406
600,8,0.01,5,0.8850678773542843,0.8864168620256607
600,8,0.01,1,0.8850039592412031,0.886671223768839
800,4,0.01,1,0.884892853119868,0.8852554976204349
800,4,0.01,3,0.8848770482208023,0.8848878030230816
600,6,0.01,3,0.8848487430405457,0.8857355055860184
600,6,0.01,1,0.8848182611311425,0.8857441712165474
800,4,0.01,5,0.8848104043581339,0.8851498109108445
600,6,0.01,5,0.8846827760576502,0.8854529380650393
800,8,0.05,3,0.884632559623733,0.8872312613810739
600,8,0.05,3,0.884632559623733,0.8872312613810739
400,8,0.05,3,0.884632559623733,0.8872312613810739
600,8,0.05,1,0.8845955668115136,0.886547526140894
800,8,0.05,1,0.8845955668115136,0.886547526140894
400,8,0.05,1,0.8845955668115136,0.886547526140894
400,8,0.01,3,0.8840783170053198,0.8851817548037753
400,8,0.01,5,0.884002689034188,0.8850995162709107
400,8,0.01,1,0.883932726635701,0.8852733386244654
600,4,0.01,1,0.8838223361086365,0.8840847879273835
600,4,0.01,3,0.8837527807140214,0.883774524371576
600,4,0.01,5,0.8837003121971279,0.8841084060184332
400,6,0.01,1,0.8833378670318489,0.8841760319194252
400,6,0.01,3,0.8832796182219607,0.884093963300885
400,6,0.01,5,0.8831844887876926,0.8836312865963595
400,4,0.01,1,0.88194536465376,0.8821486142042598
400,4,0.01,3,0.8818880970477568,0.8820165907744337
400,4,0.01,5,0.8818338443267725,0.8823562495083104
