feature,importance
log_number_of_reviews,6.270895856358269
number_of_reviews,5.0289497455353045
listing_age_days,4.081523644148801
price_per_person,3.437058021359597
host_experience_score,2.571635157378776
host_experience_years,2.2024327510125965
days_since_last_review,2.024360340489127
host_is_superhost_flag,1.975759509196985
amenities_count,1.9030539314554435
description_st_embed_17,1.5241040678298017
description_st_embed_1,1.518004092954728
description_st_embed_10,1.498024021363305
description_st_embed_8,1.4752183640517775
host_listings_count,1.4403136763523772
description_st_embed_15,1.4259936701140712
description_st_embed_20,1.4210891067560043
instant_bookable_flag,1.3950453206129192
description_st_embed_16,1.3195792283867493
description_st_embed_3,1.273359798044147
description_st_embed_13,1.2730134961857469
description_st_embed_12,1.2692583755542295
description_st_embed_9,1.2456365875465707
host_about_st_embed_7,1.181469955548636
amenity_comfort_score,1.1459469342604915
description_st_embed_11,1.1011093327980774
distance_to_center_km,1.097382095425958
host_total_listings_count,1.0822047343355814
neighborhood_st_embed_5,1.0573508067393333
description_st_embed_19,1.0561851112679261
description_st_embed_2,1.0548137859828026
log_reviews_per_month,1.0417643503075544
host_about_st_embed_2,1.0301532840742653
description_st_embed_4,1.0066473144394528
description_st_embed_6,0.9950252783245188
price_clean,0.9949008240456018
host_about_length,0.9944765889542624
amenity_has_long_term_stays_allowed,0.9768452046525593
description_st_embed_14,0.9656858287197548
description_st_embed_18,0.9506994694843065
reviews_per_month,0.9242768394812619
has_license_info,0.9134178947015704
amenity_score_safety,0.9063091947249359
neighborhood_st_embed_12,0.8716386342001344
host_about_st_embed_8,0.862517969212095
neighborhood_st_embed_11,0.8611743733292199
text_sentiment_score,0.8606291397595393
desc_sentiment_compound,0.8362771322354416
host_about_st_embed_1,0.8320915092199568
neighborhood_st_embed_7,0.8057190373436516
neighborhood_st_embed_3,0.8010351549558248
host_about_st_embed_6,0.7975172774995102
host_about_st_embed_3,0.7931864249461686
log_price,0.7894628228579521
host_response_rate,0.7737560779659137
host_about_st_embed_9,0.7583681889565737
description_st_embed_5,0.7572883506122117
bedrooms,0.7243091950496187
occupancy_rate,0.7125125476534916
amenity_has_coffee_maker,0.7115838879185392
host_verifications_count,0.694362219520347
neighborhood_st_embed_8,0.6894919983087588
host_about_st_embed_10,0.6842255975392457
accommodates,0.673041655268575
neighbourhood_encoded,0.6600133432006595
neighborhood_desc_length,0.6500568978769437
neighborhood_st_embed_9,0.637660902641683
neighborhood_st_embed_6,0.6356755797506466
neighborhood_sentiment_compound,0.6271702029875698
room_type_encoded,0.6171191382309039
neighborhood_st_embed_10,0.6111281865820645
host_about_sentiment_compound,0.6059397889235659
amenity_has_dryer,0.5944055357057063
neighborhood_st_embed_14,0.5870232800197893
neighborhood_st_embed_4,0.5774218593373875
neighborhood_st_embed_13,0.5638339323666021
host_about_st_embed_5,0.5496912462110973
availability_ratio,0.5400455469881623
description_length,0.5169091872868554
property_type_encoded,0.4989064254487433
amenity_has_tv,0.4830908324473769
host_about_st_embed_4,0.4803154261327938
neighborhood_st_embed_1,0.4623114350554135
neighborhood_st_embed_15,0.45588039876281433
bathrooms_numeric,0.44949104753711633
host_activity_score,0.4382556046555022
neighborhood_st_embed_2,0.4163061175354111
recent_review_score,0.4120662678289688
beds,0.3926370344160261
amenity_has_washer,0.3783791039368233
reviews_growth_ratio,0.324651624951
amenity_has_dishwasher,0.3090601555922038
amenity_has_wifi,0.26077582922069864
amenity_score_business,0.23590972996488205
host_has_gov_id,0.17087566534814363
amenity_score_family,0.16707794207932272
number_of_reviews_ltm,0.15983288390675746
is_shared_bath,0.07819025508313605
amenity_has_elevator,0.059393479692186946
amenity_has_kitchen,0.027652899491946988
is_central,0.02368242749419139
