feature,importance_gain
log_number_of_reviews,10451.27235507965
price_per_person,3049.5091733932495
listing_age_days,2730.69903755188
host_experience_years,2002.06636428833
amenities_count,1714.2612400054932
number_of_reviews,1680.7885913848877
days_since_last_review,1663.7302031517029
host_experience_score,1527.6732959747314
host_listings_count,1509.7024068832397
host_is_superhost_flag,1244.1433119773865
log_reviews_per_month,1136.5736474990845
log_price,988.0744099617004
description_st_embed_20,946.0220656394958
host_about_st_embed_7,896.3933701515198
description_st_embed_11,869.3847303390503
description_st_embed_10,863.5958309173584
description_st_embed_15,859.5279598236084
instant_bookable_flag,820.5719408988953
description_st_embed_19,763.3379192352295
amenity_has_coffee_maker,750.4526085853577
description_st_embed_17,731.0741653442383
amenity_comfort_score,727.5473232269287
description_st_embed_13,703.1610860824585
description_st_embed_1,700.9643697738647
description_st_embed_8,689.3505578041077
description_st_embed_6,685.3271703720093
distance_to_center_km,640.7973608970642
host_about_st_embed_3,632.1245350837708
neighborhood_st_embed_11,622.803662776947
description_st_embed_16,612.8687500953674
description_st_embed_5,598.668788433075
description_st_embed_12,579.8978924751282
description_st_embed_3,569.7111568450928
description_st_embed_9,535.3626008033752
description_st_embed_14,532.5712914466858
description_st_embed_2,530.7719287872314
neighborhood_st_embed_3,516.7453904151917
availability_ratio,492.379590511322
description_st_embed_4,489.91457986831665
host_about_st_embed_9,483.33743047714233
amenity_has_dishwasher,482.38937044143677
text_sentiment_score,475.51214361190796
neighborhood_st_embed_4,458.9904909133911
neighborhood_st_embed_14,448.0010838508606
neighborhood_st_embed_12,440.14167833328247
property_type_encoded,426.05649185180664
host_about_st_embed_8,413.28096103668213
host_about_st_embed_2,412.8205609321594
neighborhood_st_embed_5,410.65544176101685
description_st_embed_18,410.31664180755615
host_about_st_embed_10,400.11659955978394
neighborhood_st_embed_1,396.5302004814148
neighborhood_st_embed_2,392.69401454925537
neighborhood_st_embed_9,382.57609128952026
host_about_st_embed_4,379.82916736602783
neighborhood_st_embed_6,376.9803500175476
neighborhood_st_embed_7,368.47943115234375
desc_sentiment_compound,368.42311000823975
neighborhood_st_embed_10,360.111279964447
host_response_rate,360.11014795303345
neighborhood_st_embed_13,344.72365951538086
host_about_st_embed_5,335.98138904571533
amenity_has_long_term_stays_allowed,332.45560121536255
neighborhood_st_embed_8,331.7993402481079
neighborhood_sentiment_compound,329.7766213417053
host_about_st_embed_1,327.9780807495117
neighbourhood_encoded,318.4236898422241
neighborhood_st_embed_15,313.4276804924011
bedrooms,312.93171882629395
neighborhood_desc_length,308.0148615837097
has_license_info,306.36060094833374
host_activity_score,288.95825004577637
host_about_sentiment_compound,274.24217081069946
host_about_st_embed_6,258.51518058776855
host_verifications_count,235.91446924209595
host_total_listings_count,233.40643072128296
description_length,226.7319211959839
amenity_has_dryer,223.67215061187744
recent_review_score,197.55314111709595
host_about_length,183.44104957580566
amenity_score_safety,173.776939868927
bathrooms_numeric,151.9186315536499
number_of_reviews_ltm,150.6466794013977
occupancy_rate,146.9441499710083
amenity_has_washer,139.11313104629517
is_shared_bath,134.87413883209229
amenity_score_family,122.29776048660278
amenity_has_wifi,120.61469030380249
amenity_has_tv,119.15768957138062
reviews_growth_ratio,105.58211946487427
reviews_per_month,97.8359022140503
beds,95.30584049224854
accommodates,82.95648002624512
price_clean,72.38302898406982
room_type_encoded,45.164690017700195
amenity_has_kitchen,41.7877402305603
amenity_score_business,30.129499912261963
host_has_gov_id,29.9790096282959
amenity_has_elevator,20.556349754333496
is_central,0.0
