feature,importance
host_response_rate,5944.674543137473
price,4352.637518889084
room_type,3851.101555101476
accommodates,3786.932639936759
host_response_time,2829.8358126881253
beds,2148.544638082829
review_scores_location,1702.6476774086063
amenity_dryer,1551.1139128345844
number_of_reviews,1470.7994461148019
bathrooms,1182.4565015242997
minimum_nights,1128.1949951312808
amenity_building_staff,957.7255800132345
amenity_freezer,941.7708696261814
reviews_per_month,931.2139462139721
amenity_free_parking_on_premises,928.6827658211257
review_scores_value,904.9776435379758
amenity_free_street_parking,846.3049903038791
amenity_indoor_fireplace,794.9190861184984
calculated_host_listings_count_shared_rooms,792.7728651770278
amenity_dishwasher,785.8402909064461
neighbourhood_cleansed,716.2552771266003
amenity_security_cameras_on_property,714.2269449791506
host_acceptance_rate,687.8795879467302
amenity_cable_tv,675.0379625062565
amenity_high_chair,673.1250044834003
calculated_host_listings_count,659.6975491730099
amenity_washer,652.5723918383028
amenity_washer_in_unit,627.0311981808686
review_scores_rating,599.1707326348646
amenity_kitchen,594.3512509022163
host_has_profile_pic,568.630982971944
amenity_marie_stella_maris_body_soap,559.0678862578404
amenity_hdtv_with_netflix,552.8642460707958
amenity_elevator,542.7279591497963
amenity_cleaning_products,542.4032401100824
amenity_luggage_dropoff_allowed,532.7219139487866
bedrooms,530.3141985849364
amenity_iron,495.5266704376452
amenity_crib,493.55182952088654
amenity_dryer_in_unit,471.34274229484134
amenity_bathtub,467.8981608752807
amenity_private_hot_tub,467.0307322087681
amenity_piano,463.35018617569153
amenity_baby_safety_gates,455.8145147577959
amenity_private_patio_or_balcony,454.65325649181307
amenity_ceiling_fan,452.5093535339739
amenity_tv_with_standard_cable,448.74028410905066
amenity_bbq_grill,437.1576517184396
amenity_private_entrance,435.5880089480211
review_scores_cleanliness,428.3484737585027
amenity_portable_air_conditioning,428.05118964236976
bathrooms_text,424.2009297552336
minimum_nights_avg_ntm,423.7987753961363
amenity_tv,423.263568173998
amenity_baking_sheet,420.24814580707107
amenity_hair_dryer,415.8225928562994
amenity_lake_access,414.536065466741
amenity_fire_pit,408.36330076176523
maximum_nights,406.13000160795804
amenity_bread_maker,404.6541715890863
amenity_private_garden_or_backyard,404.16602278443975
amenity_wifi_300_mbps,393.3424878613449
amenity_microwave,388.16409274478735
amenity_hot_tub,387.88557431458526
amenity_gym,382.72119125314276
amenity_shared_gym_in_building,380.41959045991166
amenity_paid_washer_in_building,377.0244948284027
license,376.65832883219105
amenity_window_guards,373.16507577247484
amenity_sonos_sound_system,372.88580967318205
number_of_reviews_ltm,369.5968739908532
amenity_clothing_storage_wardrobe_and_closet,367.03168699790353
amenity_clothing_storage_closet_wardrobe_and_dresser,366.8072352368913
amenity_patio_or_balcony,361.82179355602307
amenity_game_console,359.02114067166514
maximum_nights_avg_ntm,358.46373667052865
host_is_superhost,349.03530977761943
review_scores_accuracy,348.67865742460947
amenity_hot_water_kettle,348.56820430149253
amenity_paid_parking_garage_on_premises_60_spaces,343.71826921864096
amenity_mini_fridge,336.88722005965826
amenity_sound_system,328.9020472723822
amenity_essentials,324.98060246109435
amenity_paid_valet_parking_on_premises,315.3802473981698
amenity_dove_body_soap,310.6116720326172
amenity_electric_stove,310.43150761497975
amenity_free_parking_garage_on_premises,310.39188938751465
amenity_sound_system_with_bluetooth_and_aux,310.00119545735856
amenity_outdoor_dining_area,303.2717743417562
amenity_baby_bath,302.9204780812754
amenity_rituals_conditioner,297.61567269575573
amenity_children_s_books_and_toys_for_ages_0_2_years_old_2_5_years_old_and_5_10_years_old,293.87264214279816
amenity_rice_maker,289.50017112822184
amenity_dishes_and_silverware,285.8386073204099
amenity_hot_water,283.2225459751659
amenity_paid_parking_off_premises,281.9722082766853
calculated_host_listings_count_private_rooms,281.87281952682497
amenity_stainless_steel_gas_stove,279.48846690582945
amenity_fire_extinguisher,277.75377906920824
amenity_paid_parking_garage_on_premises_1_space,277.67360735973546
amenity_fireplace_guards,274.3837003481866
amenity_andrelon_conditioner,271.4740828662335
amenity_wifi_500_mbps,269.00753270566645
amenity_keypad,263.80639807075727
amenity_extra_pillows_and_blankets,263.52727867544314
review_scores_communication,259.35860666381063
amenity_shared_garden_or_backyard,256.03321177940677
amenity_clothing_storage_walk_in_closet,252.50515854754815
amenity_outdoor_furniture,250.91802193081912
amenity_bidet,249.83601568676002
amenity_bosch_refrigerator,240.73389268973304
amenity_sonos_bluetooth_sound_system,240.28822409475129
amenity_single_level_home,238.9370485858825
amenity_portable_fans,233.20260661753827
