feature,importance
price,329795.48838434817
room_type,235810.17187408806
accommodates,131911.8363766253
beds,113152.89819799065
amenity_lock_on_bedroom_door,85433.83957015276
amenity_kitchen,77578.13916626573
host_response_rate,60496.433716076615
host_acceptance_rate,59383.89113688469
calculated_host_listings_count_private_rooms,57358.58213849664
host_response_time,52334.26847919822
number_of_reviews,50603.612435024974
bedrooms,39430.26834263206
amenity_dryer,38635.343703198436
amenity_washer,31175.81729108095
license,24616.987397629022
amenity_dishwasher,21664.540361738204
minimum_nights_avg_ntm,19124.616030710935
host_is_superhost,16342.208337491751
calculated_host_listings_count,14701.236663740874
number_of_reviews_ltm,13949.230877500773
review_scores_location,13693.269242632388
amenity_oven,13441.538887703418
calculated_host_listings_count_entire_homes,12647.479576522112
bathrooms,12550.92006380558
amenity_iron,12431.965714126825
number_of_reviews_l30d,11997.864612996578
amenity_dedicated_workspace,11792.163281100988
amenity_private_entrance,11105.994087815285
amenity_drying_rack_for_clothing,10771.59274725914
amenity_stove,10334.054737061262
amenity_clothing_storage_closet,9710.33826814294
amenity_free_street_parking,9617.032294332981
review_scores_communication,9443.6550380826
amenity_cleaning_products,9409.338350445032
amenity_lake_access,9358.065174758434
amenity_security_cameras_on_property,9311.871783655883
amenity_dining_table,9198.802554738522
amenity_tv,9029.470886665582
amenity_private_garden_or_backyard,9025.94957239628
amenity_wine_glasses,9023.721321803332
amenity_ceiling_fan,8956.410997581483
amenity_free_washer_in_unit,8811.47271168828
amenity_tv_with_standard_cable,8706.912143754958
amenity_toaster,8660.525578218698
amenity_heating,8621.543281906843
amenity_laundromat_nearby,8620.52249931693
amenity_building_staff,8463.328197789193
amenity_body_soap,8420.692516601086
amenity_cable_tv,8402.460174643993
review_scores_rating,8362.283164513112
amenity_conditioner,8350.433747953177
amenity_paid_street_parking_off_premises,8273.287825328112
amenity_freezer,8200.41026841402
amenity_children_s_books_and_toys,7756.327939122915
amenity_elevator,7645.8592159867285
review_scores_accuracy,7578.296418154239
amenity_bikes,7553.384649956226
amenity_pour_over_coffee,7527.531859374047
amenity_clothing_storage,7377.008338999748
amenity_board_games,7376.30986943841
amenity_portable_fans,7340.634842050075
amenity_outdoor_dining_area,7068.771608608961
amenity_mini_fridge,6992.2411003053185
amenity_hot_water_kettle,6939.317616546154
amenity_wifi,6922.327064502239
amenity_safe,6879.950067275762
amenity_kayak,6587.498176366091
amenity_sound_system,6534.622318029404
amenity_free_dryer_in_unit,6516.294382196665
amenity_beachfront,6242.532559490204
amenity_nespresso_machine,5980.831926637888
amenity_outdoor_furniture,5973.329005557299
amenity_private_patio_or_balcony,5868.339426928758
amenity_boat_slip,5818.289430314302
host_has_profile_pic,5724.667350780964
amenity_mosquito_net,5660.3948133707045
amenity_luggage_dropoff_allowed,5617.479240053892
amenity_clothing_storage_wardrobe,5592.1307219982145
amenity_cooking_basics,5576.744994491339
amenity_shower_gel,5519.867629539966
amenity_essentials,5500.768435281515
amenity_central_heating,5467.326105421782
amenity_piano,5444.123454767466
amenity_tv_with_chromecast,5422.8528911829
amenity_gas_stove,5190.4714495539665
amenity_bread_maker,5134.7770180046555
amenity_shared_patio_or_balcony,4962.288453418017
amenity_paid_parking_garage_off_premises,4952.028032630682
amenity_fire_pit,4713.834561794996
amenity_bluetooth_sound_system,4677.256977564097
maximum_nights_avg_ntm,4473.5286906123165
amenity_central_air_conditioning,4449.987793749571
amenity_smart_lock,4403.447412735224
amenity_table_corner_guards,4333.9320312440395
amenity_record_player,4265.183669495583
amenity_high_chair,4238.507153081894
amenity_keurig_coffee_machine,4237.659853744507
reviews_per_month,4190.659925067424
amenity_breakfast,4125.972793370485
amenity_rice_maker,4086.153029680252
amenity_dedicated_workspace_table,4084.5750317156317
amenity_smoke_alarm,4072.77233017683
amenity_clothing_storage_walk_in_closet,3941.4221824884416
amenity_keypad,3912.974268978834
amenity_private_fenced_garden_or_backyard,3848.322787207365
amenity_baking_sheet,3665.4393574893475
minimum_nights,3655.328074491024
amenity_baby_bath,3531.032203102112
amenity_paid_parking_lot_on_premises,3529.641426002979
amenity_clothing_storage_wardrobe_and_closet,3517.723070567846
amenity_waterfront,3517.2423605024815
review_scores_checkin,3506.933096665144
amenity_stainless_steel_gas_stove,3475.5081058323385
amenity_paid_parking_on_premises,3455.9917005121706
amenity_children_s_books_and_toys_for_ages_2_5_years_old_and_5_10_years_old,3449.629105246067
amenity_dedicated_workspace_desk_and_office_chair,3307.0585025072096
amenity_wifi_50_mbps,3304.054736882448
amenity_stainless_steel_oven,3300.829098546505
amenity_bathtub,3300.5337106883526
has_availability,3171.5587005853654
amenity_cleaning_before_checkout,3136.0616505742073
amenity_portable_heater,3082.7535604059694
amenity_paid_parking_lot_off_premises,2959.8987296760083
amenity_dedicated_workspace_table_and_office_chair,2942.870635962486
amenity_induction_stove,2928.8017967283727
host_identity_verified,2913.4722809672357
review_scores_cleanliness,2770.8561549365522
amenity_air_conditioning,2759.3511739134788
amenity_washer_in_unit,2747.597459000349
amenity_private_hot_tub,2730.8162202715876
amenity_barbecue_utensils,2680.677745240927
amenity_electric_stove,2676.689804947376
amenity_indoor_fireplace,2595.428574246168
amenity_clothing_storage_closet_and_dresser,2590.6594142138956
amenity_hdtv_with_netflix,2572.1745388269424
amenity_dryer_in_unit,2555.6985825061797
amenity_extra_pillows_and_blankets,2503.680501866341
amenity_children_s_books_and_toys_for_ages_0_2_years_old,2459.1580348074435
amenity_hangers,2112.3178179740908
amenity_game_console_nintendo_wii,2104.155129468441
amenity_ski_in_ski_out,2092.3731067180634
amenity_baby_monitor,2081.686233866215
amenity_clothing_storage_closet_wardrobe_and_dresser,2079.5549685537817
amenity_crib,2017.1942423522473
amenity_smeg_refrigerator,2017.0585746884346
amenity_hdtv,1996.5022309184073
amenity_private_sauna,1953.7007936894893
amenity_shared_garden_or_backyard,1940.8038671076297
amenity_shared_fenced_garden_or_backyard,1883.4382272720336
amenity_sonos_sound_system,1840.6599402189254
amenity_game_console_ps4,1831.1310587584971
amenity_paid_washer_in_building,1814.3439012825488
amenity_wifi_500_mbps,1775.381495589018
amenity_rituals_conditioner,1753.6593724191189
amenity_free_parking_garage_on_premises,1753.223434251547
amenity_rituals_shampoo,1753.140710413456
amenity_room_darkening_shades,1732.128640460968
amenity_clothing_storage_dresser,1707.783587872982
amenity_rituals_body_soap,1696.0280513048172
amenity_ping_pong_table,1594.2146470785142
amenity_marie_stella_maris_body_soap,1558.7839221298696
amenity_sound_system_with_aux,1535.866963481903
amenity_paid_dryer_in_building,1533.1337902963162
amenity_tv_with_netflix,1526.9584299325943
amenity_wifi_300_mbps,1457.9413264095783
amenity_hdtv_with_chromecast,1394.8151402175426
amenity_clothing_storage_dresser_and_wardrobe,1385.595199418068
amenity_dedicated_workspace_desk,1288.1813363492488
amenity_trash_compactor,1253.5935382187367
amenity_sonos_bluetooth_sound_system,1243.273467439413
amenity_free_parking_on_premises,1233.2420995533466
amenity_portable_air_conditioning,1223.46908416152
amenity_liebherr_refrigerator,1208.4731838405132
amenity_paid_parking_garage_on_premises_1_space,1183.1454671025276
amenity_hdtv_with_standard_cable,1148.4001014947892
amenity_lockbox,1035.9108311772347
amenity_paid_parking_off_premises,1034.189795458317
amenity_dryer_in_building,1028.1001244902611
amenity_clothing_storage_dresser_and_closet,1025.8741479694843
neighbourhood_cleansed,1023.1571078598499
amenity_washer_in_building,1022.2417126953602
amenity_patio_or_balcony,994.8858182072639
amenity_children_s_books_and_toys_for_ages_0_2_years_old_and_2_5_years_old,942.2883122265339
amenity_free_washer_in_building,827.6337964355946
amenity_free_dryer,784.4198823153972
calculated_host_listings_count_shared_rooms,763.8142675101757
amenity_children_s_books_and_toys_for_ages_5_10_years_old_and_10_years_old,720.4314474105835
amenity_free_dryer_in_building,704.1341508686543
amenity_sound_system_with_bluetooth_and_aux,672.822118628025
amenity_children_s_dinnerware,668.518232423067
amenity_wifi_100_mbps,643.267533826828
amenity_window_guards,584.6528722524642
amenity_bed_linens,577.1424267828464
amenity_smeg_stainless_steel_oven,561.6131325423718
amenity_children_s_books_and_toys_for_ages_0_2_years_old_2_5_years_old_and_5_10_years_old,549.9451165020466
amenity_paid_dryer_in_unit,547.2678866326809
amenity_wifi_200_mbps,540.9043351471424
amenity_paid_washer_in_unit,539.7131848096848
amenity_dove_body_soap,463.0817512512207
amenity_marshall_sound_system_with_bluetooth_and_aux,425.10337791442873
review_scores_value,359.5428003370762
amenity_outdoor_shower,349.05420897603034
amenity_radiant_heating,341.1265019655228
amenity_changing_table,294.4563754618168
amenity_gym,281.93976483941077
amenity_coffee_maker,212.06226715445518
host_listings_count,201.68584113121034
host_total_listings_count,201.68584113121034
maximum_nights,170.7688994526863
amenity_bidet,102.56680780649185
amenity_microwave,79.53516427278518
amenity_bosch_refrigerator,47.775405979156496
last_review_days_ago,7.546476370096206
first_review_days_ago,7.546476370096206
amenity_clothing_storage_closet_and_wardrobe,4.010101902484894
amenity_wifi_250_mbps,0.0
amenity_clothing_storage_wardrobe_closet_and_dresser,0.0
amenity_clothing_storage_wardrobe_and_dresser,0.0
amenity_bed_sheets_and_pillows,0.0
amenity_andrelon_conditioner,0.0
amenity_stainless_steel_stove,0.0
amenity_toiletries,0.0
amenity_linens,0.0
amenity_dedicated_workspace_office_chair_and_desk,0.0
first_review_year,0.0
first_review_month,0.0
first_review_day,0.0
last_review_year,0.0
last_review_month,0.0
last_review_day,0.0
amenity_concierge,0.0
host_verifications_count,0.0
amenity_shared_sauna,0.0
amenity_paid_valet_parking_on_premises,0.0
amenity_paid_parking_garage_on_premises_60_spaces,0.0
amenity_shared_gym_in_building,0.0
amenity_room_service,0.0
amenity_minibar,0.0
amenity_free_wifi,0.0
amenity_gym_nearby,0.0
amenity_hdtv_with_netflix_standard_cable,0.0
amenity_laundry_services,0.0
amenity_single_level_home,-20.855077320337294
amenity_long_term_stays_allowed,-328.3371814727783
amenity_beach_essentials,-372.78140644431113
amenity_backyard,-645.4511603653431
amenity_carbon_monoxide_alarm,-659.0323608100414
amenity_first_aid_kit,-793.0829769611358
amenity_bbq_grill,-803.6488868236542
amenity_hair_dryer,-1033.3882258355618
amenity_refrigerator,-1140.3482404589654
amenity_outlet_covers,-1147.9755204975604
amenity_pocket_wifi,-1179.966411781311
amenity_fire_extinguisher,-1337.606721353531
amenity_host_greets_you,-1358.1459383904935
amenity_children_s_books_and_toys_for_ages_5_10_years_old,-1411.4920241057873
amenity_hot_tub,-1496.9243328154087
amenity_baby_safety_gates,-1500.0136548161506
amenity_dishes_and_silverware,-1586.6793902754785
amenity_shampoo,-1768.3081054210663
amenity_ev_charger,-1906.0602699756623
amenity_pool,-2004.8440034985542
amenities,-2089.3005097210407
amenity_paid_parking_garage_on_premises,-2178.054128473997
amenity_pack_n_play_travel_crib,-2348.1834300518035
amenity_hot_water,-2840.2142685830595
amenity_ethernet_connection,-3009.3193757295608
bathrooms_text,-3067.6374273002148
amenity_babysitter_recommendations,-4221.38614385724
amenity_game_console,-4462.717424410582
amenity_fireplace_guards,-7659.60606239438
