feature,importance
room_type,0.21511608
price,0.06542337
accommodates,0.022718802
host_response_rate,0.020882946
calculated_host_listings_count_private_rooms,0.020871917
host_response_time,0.016601056
amenity_building_staff,0.014679033
bedrooms,0.014636298
Average_price_per_person,0.014151768
maximum_nights_avg_ntm,0.013312515
beds,0.011948486
calculated_host_listings_count_entire_homes,0.011725391
host_acceptance_rate,0.011218491
amenity_kitchen,0.01051497
number_of_reviews,0.008617355
amenity_cooking_basics,0.007753148
amenity_baby_monitor,0.0074755917
amenity_elevator,0.0072988225
number_of_reviews_ltm,0.007191278
amenity_security_cameras_on_property,0.007147419
amenity_board_games,0.007107241
amenity_outlet_covers,0.006918919
number_of_reviews_l30d,0.006638223
amenity_dryer,0.0065956865
amenity_children_s_dinnerware,0.006368615
amenity_sound_system_with_aux,0.0062710755
minimum_nights,0.006263318
amenity_fireplace_guards,0.0054526413
amenity_private_garden_or_backyard,0.0051772324
amenity_hair_dryer,0.0050558406
calculated_host_listings_count,0.0050030923
calculated_host_listings_count_shared_rooms,0.0049753403
amenity_host_greets_you,0.0047652856
host_total_listings_count,0.004744085
reviews_per_month,0.004680218
license,0.004461953
minimum_nights_avg_ntm,0.0044349874
maximum_nights,0.0043920395
amenity_dining_table,0.004337537
amenity_dishwasher,0.0043081637
amenity_cable_tv,0.0042629912
host_listings_count,0.004219958
amenity_baking_sheet,0.00421197
amenity_high_chair,0.0042107115
review_scores_location,0.0041841557
amenity_gym,0.004099149
amenity_tv_with_standard_cable,0.0040306468
amenity_nespresso_machine,0.0040187887
amenity_fire_extinguisher,0.004005283
host_identity_verified,0.003990558
amenity_private_entrance,0.003954428
amenity_air_conditioning,0.003906661
review_scores_rating,0.0038607614
amenity_pour_over_coffee,0.0038332085
amenity_indoor_fireplace,0.0038087142
amenity_central_air_conditioning,0.0037515971
amenity_changing_table,0.0037288645
amenity_conditioner,0.0037020762
amenity_lake_access,0.0036731737
amenity_body_soap,0.0036558853
amenity_barbecue_utensils,0.0036075434
bathrooms,0.0035665608
amenity_breakfast,0.0035608702
amenity_free_street_parking,0.0035527195
amenity_keypad,0.003543905
amenity_shampoo,0.00353671
amenity_hot_water,0.003536596
amenity_outdoor_furniture,0.0035303303
amenity_luggage_dropoff_allowed,0.0035255481
amenity_paid_washer_in_building,0.0034975954
amenity_bbq_grill,0.003472944
amenity_electric_stove,0.0034629854
amenity_toaster,0.003424326
amenity_sound_system,0.0034192384
amenity_refrigerator,0.003380098
amenity_coffee_maker,0.0033772488
amenity_mini_fridge,0.003291952
amenity_private_fenced_garden_or_backyard,0.0032724636
amenity_hdtv,0.0032549247
review_scores_cleanliness,0.00323393
amenity_free_parking_on_premises,0.0032251705
amenity_ceiling_fan,0.0031735227
amenity_bikes,0.0031651831
amenity_carbon_monoxide_alarm,0.003164544
amenity_gas_stove,0.003163219
host_is_superhost,0.0031364183
amenity_stove,0.0031337673
amenity_cleaning_before_checkout,0.0031298643
amenity_smoke_alarm,0.0030827387
review_scores_value,0.0030749678
amenities,0.0030658948
amenity_record_player,0.0029864507
neighbourhood_cleansed,0.0029842085
amenity_babysitter_recommendations,0.0029827415
amenity_window_guards,0.0029557724
amenity_oven,0.0029489899
amenity_extra_pillows_and_blankets,0.0029447519
review_scores_checkin,0.0029440199
host_has_profile_pic,0.0029370412
amenity_ethernet_connection,0.002886456
review_scores_accuracy,0.0028638763
amenity_washer,0.0028401397
amenity_drying_rack_for_clothing,0.0027929568
amenity_pack_n_play_travel_crib,0.0027839164
amenity_hangers,0.0027794463
amenity_fire_pit,0.0027788694
amenity_room_darkening_shades,0.0027770766
bathrooms_text,0.0027698216
amenity_wine_glasses,0.0027627395
amenity_lockbox,0.0027422437
amenity_bathtub,0.0027406476
amenity_dedicated_workspace,0.0027361014
review_scores_communication,0.00268352
amenity_first_aid_kit,0.0026779836
amenity_tv,0.002677677
amenity_backyard,0.0026722832
amenity_game_console,0.0026648985
amenity_crib,0.0026634778
amenity_trash_compactor,0.0026465862
amenity_private_patio_or_balcony,0.0026106553
amenity_paid_parking_off_premises,0.0025765004
amenity_safe,0.0025762718
amenity_keurig_coffee_machine,0.0025679567
amenity_wifi,0.0025414687
amenity_sound_system_with_bluetooth_and_aux,0.002495839
amenity_paid_parking_on_premises,0.0023681163
amenity_hot_tub,0.0023429866
amenity_piano,0.0023258193
amenity_paid_parking_lot_on_premises,0.002300898
amenity_bread_maker,0.0023002424
amenity_shared_garden_or_backyard,0.002297831
amenity_paid_street_parking_off_premises,0.002252752
amenity_children_s_books_and_toys,0.0022299285
amenity_beachfront,0.0021939618
amenity_paid_parking_garage_off_premises,0.0021857258
amenity_stainless_steel_oven,0.0021558895
amenity_portable_fans,0.002147038
amenity_clothing_storage_wardrobe_and_closet,0.0021391173
amenity_shared_sauna,0.0021211656
amenity_essentials,0.00211517
amenity_baby_safety_gates,0.0020879146
amenity_wifi_100_mbps,0.0020777865
amenity_bed_linens,0.0020410218
amenity_shared_patio_or_balcony,0.0020343899
amenity_boat_slip,0.002031205
amenity_private_hot_tub,0.0020234126
amenity_microwave,0.0019588752
amenity_kayak,0.0019538342
amenity_washer_in_unit,0.0019124586
amenity_long_term_stays_allowed,0.001907067
