feature,importance
price_clean,0.076451294
log_price,0.072366655
room_type_encoded,0.06859065
host_response_rate,0.063840605
bedrooms,0.058155518
property_type_encoded,0.044726785
has_license_info,0.03855615
amenity_has_heating,0.027905967
recent_review_flag,0.026473025
instant_bookable_flag,0.020550396
amenity_has_pets_allowed,0.020191547
amenity_has_kitchen,0.019992549
host_activity_score,0.019865692
host_acceptance_rate,0.019753134
host_listings_count,0.019674867
amenity_has_elevator,0.019258052
number_of_reviews,0.017454837
price_per_person,0.017241467
log_number_of_reviews,0.016771277
accommodates,0.015586677
host_total_listings_count,0.015282015
number_of_reviews_ltm,0.015163888
reviews_per_month,0.014089706
listing_age_days,0.012974025
amenity_has_washer,0.012896788
amenity_has_dishwasher,0.012848337
distance_to_center_km,0.012639579
days_since_last_review,0.012599522
log_reviews_per_month,0.012583353
amenity_score_family,0.012436728
amenity_has_air_conditioning,0.0124080125
reviews_growth_ratio,0.011573666
is_central,0.01112192
beds,0.010835522
amenity_has_long_term_stays_allowed,0.010824227
neighbourhood_encoded,0.010689951
amenity_score_luxury,0.010496257
bathrooms_numeric,0.010448794
host_is_superhost_flag,0.010375425
amenity_score_safety,0.010260249
amenities_count,0.010242059
amenity_comfort_score,0.010044307
amenity_has_coffee_maker,0.009937147
amenity_has_tv,0.009832303
amenity_has_wifi,0.009785289
amenity_score_business,0.009555663
amenity_has_dryer,0.0089829285
is_shared_bath,0.005665092
amenity_has_parking,0.0
amenity_has_balcony,0.0
