feature,importance
recent_review_flag,0.09786009
number_of_reviews,0.047638144
log_number_of_reviews,0.047135495
amenity_has_dishwasher,0.027506543
host_listings_count,0.026322603
host_is_superhost_flag,0.022636117
instant_bookable_flag,0.022330496
host_total_listings_count,0.0211922
room_type_encoded,0.019437885
has_license_info,0.01613614
number_of_reviews_ltm,0.015450872
recent_review_score,0.015141218
listing_age_days,0.014406129
days_since_last_review,0.0130913565
amenities_count,0.012939843
host_verifications_count,0.011408729
price_per_person,0.011030304
amenity_has_long_term_stays_allowed,0.0099872835
amenity_has_coffee_maker,0.009751555
amenity_score_business,0.009738537
amenity_has_dryer,0.009130522
accommodates,0.008997855
amenity_has_pets_allowed,0.0085765645
amenity_has_kitchen,0.008555718
property_type_encoded,0.00850884
amenity_score_safety,0.008508632
is_shared_bath,0.008489133
host_activity_score,0.00840097
log_reviews_per_month,0.008365885
description_length,0.008262185
bathrooms_numeric,0.00821356
host_about_length,0.008139815
bedrooms,0.008113672
amenity_has_wifi,0.00801966
desc_embed_6,0.008005611
occupancy_rate,0.007990975
availability_ratio,0.0078030583
amenity_has_washer,0.007721426
reviews_per_month,0.0075069014
reviews_growth_ratio,0.0075013046
host_response_rate,0.007312016
host_acceptance_rate,0.007220879
amenity_comfort_score,0.0071900683
log_price,0.007153231
is_central,0.007130652
amenity_has_air_conditioning,0.0070690075
price_clean,0.00701226
neighborhood_embed_4,0.006986241
amenity_score_luxury,0.006967479
neighbourhood_encoded,0.0069412924
amenity_has_tv,0.0069379704
distance_to_center_km,0.006825443
beds,0.0067578936
desc_embed_8,0.006707523
desc_embed_9,0.0066808355
desc_embed_7,0.0066621904
amenity_has_elevator,0.006621033
desc_embed_17,0.0065781046
neighborhood_embed_12,0.006574126
neighborhood_embed_18,0.0065668286
neighborhood_embed_14,0.006544884
desc_embed_15,0.0065445234
desc_embed_4,0.006543445
amenity_score_family,0.0065272143
desc_embed_16,0.0065252245
neighborhood_embed_2,0.0065045706
neighborhood_embed_10,0.0064815665
desc_embed_5,0.0064603817
neighborhood_embed_11,0.0064541185
desc_embed_10,0.006447163
neighborhood_embed_13,0.0064350073
desc_embed_0,0.006424213
host_has_gov_id,0.006414117
neighborhood_embed_5,0.0063704834
desc_embed_1,0.0063578123
desc_embed_19,0.0063482043
neighborhood_embed_8,0.0063368687
desc_embed_14,0.0063213655
desc_embed_2,0.006313321
neighborhood_embed_15,0.006289487
neighborhood_embed_3,0.0062830057
neighborhood_embed_19,0.006250479
desc_embed_12,0.0062373867
neighborhood_desc_length,0.0062001706
neighborhood_embed_9,0.0061827227
neighborhood_embed_6,0.006176828
neighborhood_embed_17,0.006164524
neighborhood_embed_7,0.006154632
neighborhood_embed_0,0.0061545176
desc_embed_13,0.0061313123
neighborhood_embed_16,0.006118198
desc_embed_11,0.006014694
desc_embed_18,0.0059997076
neighborhood_embed_1,0.0059995055
desc_embed_3,0.0059295655
amenity_has_heating,0.005509925
amenity_has_parking,0.0
amenity_has_balcony,0.0
desc_sentiment_compound,0.0
host_about_sentiment_compound,0.0
neighborhood_sentiment_compound,0.0
text_sentiment_score,0.0
