feature,importance
log_number_of_reviews,0.09611043
number_of_reviews,0.09513697
has_license_info,0.036699872
license_is_missing,0.02598851
amenity_has_dishwasher,0.025958162
recent_review_score,0.02072681
reviews_per_month,0.019371092
instant_bookable_flag,0.019163813
listing_age_days,0.018764291
log_reviews_per_month,0.016538158
reviews_growth_ratio,0.015580852
host_listings_count,0.015361391
number_of_reviews_ly_is_missing,0.014277609
host_total_listings_count,0.013971053
amenities_count,0.011881179
number_of_reviews_ltm,0.010867608
days_since_last_review,0.010183212
availability_eoy_is_missing,0.0099461675
price_per_person,0.0099459905
room_type_encoded,0.009653434
amenity_has_long_term_stays_allowed,0.00907598
host_is_superhost_flag,0.008681232
host_activity_score,0.008532928
host_response_rate,0.008025542
availability_ratio,0.0075424705
bathrooms_numeric,0.007361388
host_verifications_count,0.007327084
accommodates,0.007074779
amenity_has_dryer,0.0070464187
occupancy_rate,0.006578602
amenity_score_safety,0.006519668
property_type_encoded,0.0065043713
beds,0.006343942
amenity_has_wifi,0.00627942
host_about_length,0.0062290747
host_about_sentiment_compound,0.0061926073
neighborhood_embed_5,0.0061219437
neighborhood_embed_4,0.0060956283
neighborhood_embed_15,0.006015301
neighborhood_embed_11,0.006015116
desc_embed_9,0.006010672
desc_embed_10,0.0060075903
neighborhood_embed_19,0.005987726
desc_embed_7,0.0059690527
log_price,0.005929918
neighborhood_embed_7,0.0059029046
amenity_has_heating,0.0058900868
amenity_comfort_score,0.0058855433
amenity_has_washer,0.00588462
neighborhood_embed_13,0.005876378
host_acceptance_rate,0.0058599855
neighborhood_embed_8,0.0058382885
amenity_has_coffee_maker,0.005785392
neighborhood_embed_14,0.005764358
desc_embed_6,0.0057621826
neighborhood_sentiment_compound,0.0057203425
amenity_score_family,0.00569424
neighborhood_embed_17,0.0056861094
desc_embed_1,0.005610848
desc_embed_14,0.0056013875
neighborhood_embed_18,0.0055850344
desc_embed_5,0.005580231
description_length,0.0055766637
desc_embed_15,0.005575641
neighborhood_embed_6,0.005569911
neighborhood_embed_9,0.0055672047
neighbourhood_encoded,0.005557133
desc_embed_4,0.005541029
desc_embed_17,0.005511408
desc_embed_19,0.005507873
neighborhood_embed_10,0.0054978984
amenity_has_elevator,0.005496981
neighborhood_embed_3,0.005490418
desc_embed_3,0.005485078
distance_to_center_km,0.005464925
neighborhood_desc_length,0.0054574357
desc_embed_11,0.0054512266
neighborhood_embed_12,0.005440665
neighborhood_embed_16,0.005422552
neighborhood_embed_2,0.005397835
neighborhood_embed_0,0.005370046
is_shared_bath,0.005352432
neighborhood_embed_1,0.005350388
price_clean,0.0053331084
desc_embed_2,0.005326652
desc_embed_8,0.0053155734
desc_embed_18,0.005261091
desc_embed_13,0.0052410346
desc_embed_16,0.00523909
text_sentiment_score,0.0051891506
amenity_score_business,0.005151238
desc_sentiment_compound,0.0051283003
amenity_has_tv,0.0051254085
bedrooms,0.0051103584
desc_embed_0,0.0050836857
desc_embed_12,0.005082603
amenity_has_pets_allowed,0.004861176
host_about_is_missing,0.0048042787
amenity_has_kitchen,0.00478143
host_neighbourhood_is_missing,0.0047239526
host_response_time_is_missing,0.004674665
is_central,0.004513916
host_acceptance_rate_is_missing,0.0045137727
estimated_occupancy_l365d_is_missing,0.0044301287
host_has_gov_id,0.004372348
host_response_rate_is_missing,0.004134798
amenity_score_luxury,0.004075604
amenity_has_air_conditioning,0.0039189556
neighbourhood_is_missing,0.0
recent_review_flag,0.0
neighborhood_overview_is_missing,0.0
amenity_has_balcony,0.0
source_is_missing,0.0
amenity_has_parking,0.0
