feature,importance
recent_review_flag,0.05697608
amenity_has_dishwasher,0.05054061
number_of_reviews,0.039773434
log_number_of_reviews,0.038525365
instant_bookable_flag,0.03295499
has_license_info,0.030589271
host_listings_count,0.027592694
host_is_superhost_flag,0.02454937
amenities_count,0.018907553
listing_age_days,0.01729705
host_total_listings_count,0.016292738
recent_review_score,0.014376799
amenity_has_long_term_stays_allowed,0.011692143
property_type_encoded,0.011639951
room_type_encoded,0.0113840215
is_shared_bath,0.011294136
price_per_person,0.011063187
days_since_last_review,0.0110553
log_reviews_per_month,0.01060659
accommodates,0.009743157
availability_ratio,0.009722541
amenity_has_kitchen,0.009695429
host_response_rate,0.009520744
amenity_has_coffee_maker,0.0094473045
bathrooms_numeric,0.009026413
host_activity_score,0.009011917
bedrooms,0.008929141
beds,0.008886286
host_verifications_count,0.0087187
occupancy_rate,0.008272308
reviews_per_month,0.008162503
reviews_growth_ratio,0.00804502
amenity_has_dryer,0.008042566
desc_embed_6,0.007858451
price_clean,0.0077663595
amenity_has_pets_allowed,0.0076193875
amenity_score_safety,0.007574494
neighborhood_embed_6,0.0075488435
host_has_gov_id,0.0074913725
amenity_has_air_conditioning,0.0074836914
amenity_has_washer,0.0074004396
neighborhood_embed_4,0.0073177735
host_about_length,0.0073117036
neighborhood_embed_3,0.007270786
log_price,0.0072602346
amenity_has_heating,0.007247915
number_of_reviews_ltm,0.0071877358
neighbourhood_encoded,0.0070581217
amenity_score_family,0.0070123617
amenity_has_elevator,0.006996244
neighborhood_embed_7,0.006996013
neighborhood_embed_14,0.0069848043
neighborhood_embed_5,0.0069809784
desc_embed_8,0.006978972
desc_embed_17,0.006891963
desc_embed_10,0.006882841
desc_embed_11,0.006864813
neighborhood_embed_13,0.006843863
neighborhood_embed_15,0.0068327026
neighborhood_embed_8,0.0067738756
neighborhood_embed_2,0.0067707477
distance_to_center_km,0.006728654
neighborhood_embed_12,0.0067255693
desc_embed_16,0.0067118783
neighborhood_embed_1,0.006704179
desc_embed_9,0.006701611
desc_embed_7,0.006681049
host_acceptance_rate,0.006667004
neighborhood_embed_19,0.006657379
neighborhood_embed_18,0.0066508623
desc_embed_1,0.006633198
neighborhood_embed_9,0.0066298507
amenity_score_business,0.006629133
neighborhood_embed_11,0.0066263783
amenity_comfort_score,0.006581346
neighborhood_embed_0,0.00655747
desc_embed_18,0.0065269005
neighborhood_embed_10,0.0065238755
desc_embed_19,0.006515924
neighborhood_embed_16,0.0065150782
amenity_has_wifi,0.0065115155
neighborhood_desc_length,0.0064998274
desc_embed_3,0.006498296
description_length,0.0064947945
desc_embed_4,0.0064945896
desc_embed_12,0.0064815236
desc_embed_0,0.006465872
desc_embed_15,0.006390043
desc_embed_13,0.006384134
desc_embed_14,0.00635562
neighborhood_embed_17,0.0063008307
desc_embed_5,0.0063006273
amenity_has_tv,0.006277614
desc_embed_2,0.0062657865
amenity_score_luxury,0.005696382
is_central,0.005072441
amenity_has_parking,0.0
amenity_has_balcony,0.0
desc_sentiment_compound,0.0
host_about_sentiment_compound,0.0
neighborhood_sentiment_compound,0.0
text_sentiment_score,0.0
