feature,importance
amenity_has_dishwasher,0.058318432
number_of_reviews,0.042391617
log_number_of_reviews,0.04017493
room_type_encoded,0.025696658
amenity_has_coffee_maker,0.024785172
host_is_superhost_flag,0.024471227
host_listings_count,0.020710757
instant_bookable_flag,0.019896073
listing_age_days,0.016458854
price_per_person,0.0152409645
has_license_info,0.014745277
amenities_count,0.014201785
amenity_has_washer,0.01294309
host_experience_years,0.012464851
log_reviews_per_month,0.012134311
is_shared_bath,0.011950336
host_experience_score,0.011675206
days_since_last_review,0.011668333
amenity_has_long_term_stays_allowed,0.011543959
price_clean,0.0106946705
amenity_has_elevator,0.010673179
bedrooms,0.010465909
host_response_rate,0.010211289
amenity_has_dryer,0.009722398
log_price,0.009252002
occupancy_rate,0.008960746
amenity_has_tv,0.008793702
accommodates,0.008729268
host_about_st_embed_3,0.008723985
host_has_gov_id,0.008653495
amenity_has_wifi,0.008621293
amenity_comfort_score,0.008547212
recent_review_score,0.008511038
host_about_st_embed_7,0.008435649
property_type_encoded,0.00831198
reviews_growth_ratio,0.008173538
availability_ratio,0.008113705
host_verifications_count,0.0080980435
number_of_reviews_ltm,0.008004615
amenity_score_safety,0.00792418
amenity_score_family,0.007920028
description_st_embed_10,0.007919202
reviews_per_month,0.0077226283
host_about_st_embed_5,0.00741734
neighborhood_st_embed_3,0.007373262
host_total_listings_count,0.007360627
description_st_embed_15,0.007334221
bathrooms_numeric,0.007302525
description_st_embed_16,0.007269494
neighborhood_sentiment_compound,0.007252121
description_st_embed_13,0.0072401585
neighborhood_st_embed_11,0.0072173784
neighborhood_desc_length,0.007191517
host_about_st_embed_9,0.00718399
neighborhood_st_embed_6,0.007156336
description_st_embed_20,0.007153785
neighborhood_st_embed_13,0.007121925
host_about_sentiment_compound,0.0071123643
host_about_st_embed_1,0.007083676
host_about_st_embed_8,0.007035659
beds,0.007013689
description_st_embed_8,0.0069967364
description_st_embed_12,0.0069952435
description_st_embed_11,0.006975552
description_st_embed_3,0.0069558434
description_st_embed_2,0.00694229
text_sentiment_score,0.006926412
description_st_embed_18,0.006909803
neighborhood_st_embed_5,0.0068866904
description_st_embed_1,0.0068792608
description_st_embed_14,0.006878999
amenity_has_kitchen,0.0068788384
neighborhood_st_embed_4,0.0068723145
description_st_embed_19,0.0068265107
distance_to_center_km,0.0068121166
host_about_st_embed_2,0.006801691
description_st_embed_4,0.0068004634
description_st_embed_5,0.006765461
host_about_st_embed_4,0.0067421277
description_length,0.0067251413
neighborhood_st_embed_14,0.006710075
neighborhood_st_embed_10,0.006697127
neighbourhood_encoded,0.006695965
neighborhood_st_embed_15,0.006660886
host_about_st_embed_10,0.0066474606
neighborhood_st_embed_9,0.00663445
neighborhood_st_embed_1,0.006593249
desc_sentiment_compound,0.0065899943
description_st_embed_9,0.0065690023
description_st_embed_6,0.0065672626
description_st_embed_17,0.0065363282
neighborhood_st_embed_7,0.006484119
neighborhood_st_embed_2,0.0064652823
amenity_score_business,0.0064024767
neighborhood_st_embed_8,0.0063468753
host_about_length,0.006215018
host_activity_score,0.006186409
host_about_st_embed_6,0.005879866
neighborhood_st_embed_12,0.0058198534
is_central,0.004251181
