feature,importance
amenity_hot_water,0.042203628
amenity_iron,0.04020481
amenity_coffee_maker,0.03203976
number_of_reviews,0.02809102
room_type,0.026085656
amenity_dishwasher,0.024999604
host_total_listings_count,0.024075883
host_is_superhost,0.0223624
amenity_cooking_basics,0.020525994
amenity_dishes_and_silverware,0.018307142
calculated_host_listings_count,0.016895954
Average_price_per_person,0.015656691
amenity_nespresso_machine,0.0147755025
amenity_kitchen,0.014161582
host_listings_count,0.0139600225
amenity_hair_dryer,0.012926047
reviews_per_month,0.012509169
amenity_paid_parking_off_premises,0.0115065845
amenity_high_chair,0.011151905
amenity_cleaning_products,0.010636644
amenity_body_soap,0.010619561
amenity_smoke_alarm,0.01031872
license,0.010008014
calculated_host_listings_count_entire_homes,0.009682643
maximum_nights,0.009276028
amenity_tv,0.008968726
amenity_washer,0.00862604
number_of_reviews_ltm,0.008400172
minimum_nights,0.008362279
amenity_indoor_fireplace,0.008310375
minimum_nights_avg_ntm,0.008254375
amenity_wine_glasses,0.008182369
amenity_smart_lock,0.0080762105
amenity_tv_with_standard_cable,0.007990251
calculated_host_listings_count_private_rooms,0.0077449563
amenity_central_heating,0.007325136
amenity_children_s_books_and_toys,0.007143025
amenity_paid_parking_on_premises,0.0071294014
availability_90,0.0069924495
amenity_carbon_monoxide_alarm,0.0068662036
amenity_long_term_stays_allowed,0.0068468526
bathrooms_text,0.0068098577
amenity_clothing_storage,0.0067715887
amenity_host_greets_you,0.006715048
host_identity_verified,0.0066173924
amenity_fire_extinguisher,0.0064945356
host_response_rate,0.0064914385
amenity_breakfast,0.0064141024
amenity_cable_tv,0.0063619805
amenity_lock_on_bedroom_door,0.0063072676
amenity_crib,0.006260036
maximum_nights_avg_ntm,0.006237036
amenity_oven,0.0062177023
amenity_dryer,0.006101438
amenity_bathtub,0.0060716076
amenity_first_aid_kit,0.006060921
amenity_baking_sheet,0.0060190004
amenity_hangers,0.0060080267
availability_30,0.006005716
amenity_shower_gel,0.005901228
amenity_wifi,0.005826518
amenity_essentials,0.005826148
amenity_drying_rack_for_clothing,0.005795361
availability_365,0.005727999
number_of_reviews_l30d,0.005695437
amenities,0.0056557152
amenity_cleaning_before_checkout,0.005654053
amenity_waterfront,0.005590881
availability_60,0.0054708617
amenity_dining_table,0.0054128733
amenity_mini_fridge,0.0053875204
amenity_air_conditioning,0.0053405017
host_has_profile_pic,0.005282376
host_acceptance_rate,0.005279909
price,0.005257488
amenity_lockbox,0.005159332
