feature,importance
instant_bookable_flag,0.06751593
has_license_info,0.05881429
recent_review_flag,0.046354987
amenity_has_dishwasher,0.039247036
number_of_reviews,0.037935365
log_number_of_reviews,0.03604997
host_listings_count,0.034759372
amenities_count,0.025386505
host_is_superhost_flag,0.02474276
listing_age_days,0.018630415
amenity_has_kitchen,0.013636845
host_total_listings_count,0.013467791
log_reviews_per_month,0.013271846
host_activity_score,0.012900401
amenity_has_long_term_stays_allowed,0.012830955
price_per_person,0.01272342
reviews_per_month,0.011738341
recent_review_score,0.011330044
days_since_last_review,0.011025766
number_of_reviews_ltm,0.010630507
beds,0.01024716
desc_embed_6,0.009929864
property_type_encoded,0.009874043
room_type_encoded,0.009797966
is_shared_bath,0.008924874
amenity_has_tv,0.008088815
amenity_has_coffee_maker,0.007980495
desc_embed_9,0.0077958205
host_response_rate,0.0077396943
availability_ratio,0.007703658
bathrooms_numeric,0.007690957
log_price,0.007632323
desc_embed_7,0.0073734624
host_about_length,0.007265733
host_verifications_count,0.0071279895
desc_embed_10,0.007085467
amenity_has_dryer,0.007034325
amenity_score_family,0.0070178993
bedrooms,0.007014474
reviews_growth_ratio,0.0069601843
occupancy_rate,0.0069123893
price_clean,0.0067661502
host_acceptance_rate,0.006698714
desc_embed_16,0.0066847764
accommodates,0.0065375883
neighborhood_embed_4,0.006514454
desc_embed_0,0.0063684043
neighbourhood_encoded,0.006358935
amenity_comfort_score,0.0063302023
desc_embed_8,0.006316706
amenity_score_business,0.0062304335
desc_embed_3,0.0062082293
distance_to_center_km,0.006205145
desc_embed_1,0.006203195
desc_embed_12,0.0061098416
desc_embed_4,0.00602597
amenity_has_wifi,0.006019176
desc_embed_2,0.0060036923
desc_embed_11,0.006002177
amenity_score_safety,0.0059969514
neighborhood_embed_16,0.005996535
neighborhood_embed_8,0.0059583876
neighborhood_embed_14,0.005954784
neighborhood_embed_3,0.005944395
desc_embed_14,0.0059333243
neighborhood_embed_18,0.005929905
desc_embed_5,0.005918163
desc_embed_17,0.005913
desc_embed_15,0.005909593
neighborhood_embed_13,0.0059036026
neighborhood_embed_10,0.0058820075
neighborhood_embed_0,0.0058657313
neighborhood_embed_15,0.0058466787
desc_embed_18,0.005814063
neighborhood_embed_1,0.005759623
neighborhood_embed_2,0.005746809
neighborhood_embed_11,0.0057391846
neighborhood_embed_7,0.00572988
neighborhood_embed_12,0.005719477
description_length,0.005719321
neighborhood_embed_5,0.0056566503
desc_embed_13,0.0056417715
desc_embed_19,0.005577273
neighborhood_embed_19,0.0055633564
neighborhood_embed_6,0.005525397
neighborhood_desc_length,0.0054934355
amenity_has_heating,0.005478847
neighborhood_embed_9,0.005450307
neighborhood_embed_17,0.005267711
amenity_has_washer,0.005223326
amenity_score_luxury,0.005104068
host_has_gov_id,0.0050997627
amenity_has_air_conditioning,0.005060821
amenity_has_pets_allowed,0.0048718755
amenity_has_elevator,0.0043468317
is_central,0.0036831812
amenity_has_parking,0.0
amenity_has_balcony,0.0
desc_sentiment_compound,0.0
host_about_sentiment_compound,0.0
neighborhood_sentiment_compound,0.0
text_sentiment_score,0.0
