feature,importance
log_number_of_reviews,0.049576446
room_type_encoded,0.03748255
number_of_reviews,0.032910153
host_is_superhost_flag,0.030743793
amenities_count,0.026646085
host_listings_count,0.02610767
instant_bookable_flag,0.025307013
price_per_person,0.02271428
host_total_listings_count,0.02145665
property_type_encoded,0.018420741
host_experience_score,0.016125431
log_reviews_per_month,0.016034318
listing_age_days,0.014629485
amenity_has_coffee_maker,0.014391922
has_license_info,0.013316788
amenity_has_kitchen,0.01322024
amenity_score_family,0.012299039
amenity_has_tv,0.012036182
reviews_per_month,0.010658757
days_since_last_review,0.010527012
host_experience_years,0.010421836
host_response_rate,0.0097991945
price_clean,0.009724864
host_about_embed_3,0.00942904
host_activity_score,0.009107393
amenity_has_washer,0.009022118
neighborhood_embed_11,0.008994546
amenity_has_air_conditioning,0.0089915935
recent_review_score,0.008849734
amenity_comfort_score,0.008831597
log_price,0.008585601
neighborhood_desc_length,0.0085530775
amenity_has_dishwasher,0.008266914
description_embed_19,0.0079807695
distance_to_center_km,0.007971933
description_embed_7,0.007971499
description_embed_6,0.007967335
host_about_embed_8,0.007964899
host_about_embed_7,0.007943085
neighborhood_embed_3,0.007941773
neighborhood_embed_1,0.00790161
amenity_has_elevator,0.007897772
host_about_embed_1,0.007857072
description_embed_10,0.007825757
availability_ratio,0.007807469
amenity_has_dryer,0.0077869836
occupancy_rate,0.0077747246
host_about_embed_2,0.007701407
amenity_score_safety,0.0076673846
neighborhood_embed_9,0.0076201633
neighborhood_embed_5,0.007614099
description_embed_11,0.0075661233
description_embed_8,0.007563473
host_about_embed_10,0.0075515592
neighbourhood_encoded,0.0074928408
description_embed_9,0.0074890144
number_of_reviews_ltm,0.007455428
host_about_embed_9,0.0074122334
neighborhood_embed_8,0.0074080285
description_length,0.00734063
amenity_has_wifi,0.0072910003
description_embed_1,0.0072624935
description_embed_14,0.0072572725
description_embed_17,0.0072374907
description_embed_2,0.007187191
description_embed_18,0.007141944
description_embed_3,0.0071331216
host_about_embed_4,0.007119626
description_embed_12,0.007109274
neighborhood_embed_6,0.007095562
neighborhood_embed_10,0.007088821
description_embed_4,0.0070804325
neighborhood_embed_14,0.0070737754
host_about_length,0.0070735933
description_embed_15,0.0070204427
neighborhood_embed_7,0.006989269
description_embed_13,0.0069764485
neighborhood_embed_2,0.0069189477
description_embed_5,0.006893391
host_about_embed_6,0.0067993724
neighborhood_embed_12,0.0067783333
neighborhood_embed_4,0.006761346
description_embed_16,0.0067091077
description_embed_20,0.00668589
is_central,0.006559639
host_about_embed_5,0.006525946
amenity_score_business,0.00649226
bedrooms,0.006450209
neighborhood_embed_15,0.0064142095
reviews_growth_ratio,0.006361129
neighborhood_embed_13,0.0063501867
beds,0.0063240193
amenity_score_luxury,0.006186751
accommodates,0.0060678693
recent_review_flag,0.005787242
host_acceptance_rate,0.005420508
amenity_has_heating,0.0047187456
bathrooms,0.0
amenity_has_balcony,0.0
amenity_has_parking,0.0
