feature,importance
room_type,0.095499866
price,0.06967923
calculated_host_listings_count_entire_homes,0.0618114
host_response_rate,0.027346745
calculated_host_listings_count_private_rooms,0.024551028
host_response_time,0.01978249
accommodates,0.019743696
Average_price_per_person,0.0153392395
beds,0.015285621
bedrooms,0.014267759
maximum_nights_avg_ntm,0.014236293
amenity_electric_stove,0.013630774
number_of_reviews_ltm,0.011051484
number_of_reviews,0.010537368
amenity_baby_monitor,0.009304186
amenity_kitchen,0.009219827
amenity_oven,0.009029631
amenity_baby_safety_gates,0.008686971
calculated_host_listings_count,0.008178697
host_acceptance_rate,0.0081470385
amenity_building_staff,0.008141808
license,0.0075013996
amenity_elevator,0.006635059
amenity_children_s_dinnerware,0.0064622494
minimum_nights,0.0064206575
amenity_private_fenced_garden_or_backyard,0.0064047957
amenity_tv_with_standard_cable,0.006365227
amenity_breakfast,0.0063266004
amenity_refrigerator,0.006052259
amenity_pack_n_play_travel_crib,0.0060033523
host_total_listings_count,0.005938958
calculated_host_listings_count_shared_rooms,0.005810098
amenity_security_cameras_on_property,0.005734065
amenity_smoke_alarm,0.0053951032
amenity_nespresso_machine,0.0053568496
amenity_fireplace_guards,0.005285904
amenity_cooking_basics,0.0052090557
amenity_baking_sheet,0.005208035
number_of_reviews_l30d,0.005202071
amenity_indoor_fireplace,0.005046376
maximum_nights,0.0050355797
amenity_sound_system_with_aux,0.004978841
host_listings_count,0.004968754
amenity_sound_system,0.004961421
amenity_conditioner,0.0049442947
amenity_air_conditioning,0.004920812
amenity_dryer,0.004813223
amenity_gym,0.004693406
amenity_private_garden_or_backyard,0.0046835346
amenity_hot_water,0.004646389
amenity_free_street_parking,0.0045656683
review_scores_accuracy,0.0045148246
amenity_paid_parking_off_premises,0.0045069237
review_scores_cleanliness,0.0045065824
amenity_hot_tub,0.0044851275
amenity_children_s_books_and_toys,0.0044839303
review_scores_location,0.004386507
bathrooms,0.0043264166
reviews_per_month,0.0042445404
host_identity_verified,0.004240134
amenity_dishwasher,0.004235188
amenities,0.004167011
amenity_central_heating,0.0041520773
amenity_cleaning_before_checkout,0.004089844
bathrooms_text,0.004082955
amenity_ethernet_connection,0.0040380135
amenity_record_player,0.0038935475
amenity_changing_table,0.0038582853
review_scores_value,0.0038396402
amenity_high_chair,0.0038324953
amenity_lake_access,0.0037722096
review_scores_rating,0.0037663798
minimum_nights_avg_ntm,0.003650433
amenity_host_greets_you,0.0036474252
amenity_hair_dryer,0.0036117204
amenity_bathtub,0.003597985
amenity_long_term_stays_allowed,0.0035976116
amenity_luggage_dropoff_allowed,0.0035777458
review_scores_communication,0.0035582713
amenity_gas_stove,0.0035460938
amenity_paid_street_parking_off_premises,0.0035263647
amenity_sonos_bluetooth_sound_system,0.0034540803
amenity_fire_extinguisher,0.0033971677
amenity_baby_bath,0.0033952985
amenity_shower_gel,0.003385362
amenity_fire_pit,0.0033661434
amenity_keypad,0.0033391349
amenity_shared_patio_or_balcony,0.0032530762
amenity_babysitter_recommendations,0.0032519181
host_is_superhost,0.003220781
amenity_drying_rack_for_clothing,0.0031906823
amenity_private_patio_or_balcony,0.0031864566
amenity_room_darkening_shades,0.0031806694
amenity_laundromat_nearby,0.0031761094
amenity_central_air_conditioning,0.003164018
amenity_free_parking_on_premises,0.003134118
amenity_dedicated_workspace,0.003128717
amenity_barbecue_utensils,0.0030813073
amenity_window_guards,0.0030502751
amenity_bbq_grill,0.0030493296
amenity_washer,0.0030391926
amenity_hdtv,0.003032207
amenity_iron,0.0030236058
amenity_portable_fans,0.0030162823
amenity_coffee_maker,0.0029850525
amenity_beachfront,0.0029604651
amenity_lockbox,0.00295813
amenity_toaster,0.0029303236
review_scores_checkin,0.0029155086
host_has_profile_pic,0.0028850636
amenity_outlet_covers,0.002860244
amenity_stove,0.002806349
amenity_wifi_100_mbps,0.0027041088
amenity_paid_parking_garage_off_premises,0.002689419
amenity_dishes_and_silverware,0.0026877297
amenity_boat_slip,0.0026742918
amenity_extra_pillows_and_blankets,0.002673771
amenity_clothing_storage,0.0026515524
amenity_bed_linens,0.0026489336
neighbourhood_cleansed,0.0026485908
amenity_ceiling_fan,0.002642968
amenity_paid_washer_in_building,0.0026412706
amenity_tv_with_netflix,0.002617408
amenity_pool,0.002602036
amenity_single_level_home,0.0026013423
amenity_essentials,0.002591459
amenity_game_console,0.002533225
amenity_first_aid_kit,0.0025227424
amenity_cable_tv,0.002515565
amenity_kayak,0.0025134704
amenity_heating,0.0024987026
amenity_mini_fridge,0.0024895403
amenity_portable_air_conditioning,0.0024742968
amenity_piano,0.0024605687
amenity_beach_essentials,0.0024363676
amenity_trash_compactor,0.002419734
amenity_shared_garden_or_backyard,0.002404336
amenity_dining_table,0.002352391
amenity_free_dryer_in_unit,0.002330009
amenity_tv,0.002329849
amenity_private_entrance,0.0022921104
amenity_paid_parking_on_premises,0.0022834758
amenity_board_games,0.002240371
amenity_hangers,0.0022325164
amenity_clothing_storage_dresser_and_closet,0.002211226
amenity_bread_maker,0.002191884
amenity_body_soap,0.0021871047
amenity_clothing_storage_wardrobe_and_closet,0.0021439774
amenity_free_washer_in_unit,0.0021291713
amenity_ev_charger,0.0021282835
amenity_sonos_sound_system,0.0020908944
amenity_paid_dryer_in_building,0.0020859146
amenity_freezer,0.0020691461
amenity_private_hot_tub,0.002059561
amenity_crib,0.0020108859
amenity_paid_parking_lot_on_premises,0.001987078
amenity_lock_on_bedroom_door,0.001963913
amenity_keurig_coffee_machine,0.0019566312
amenity_microwave,0.0019013432
amenity_safe,0.0018915889
amenity_washer_in_unit,0.0018840946
has_availability,0.0018744365
amenity_shampoo,0.0018231244
amenity_outdoor_furniture,0.001721414
amenity_wifi,0.0017172346
amenity_pour_over_coffee,0.0016927636
amenity_backyard,0.0016872955
amenity_waterfront,0.0016721097
amenity_cleaning_products,0.0016676582
amenity_sound_system_with_bluetooth_and_aux,0.0015740168
amenity_private_sauna,0.0015731608
amenity_wine_glasses,0.00150512
amenity_carbon_monoxide_alarm,0.0013959076
amenity_dedicated_workspace_table,0.0013920104
amenity_patio_or_balcony,0.0013855288
amenity_bluetooth_sound_system,0.001298852
amenity_marie_stella_maris_body_soap,0.0012263157
amenity_mosquito_net,0.0012230428
amenity_pocket_wifi,0.0011446876
amenity_outdoor_dining_area,0.00086499366
amenity_bikes,0.0006689448
amenity_game_console_ps4,0.0
amenity_gym_nearby,0.0
amenity_free_parking_garage_on_premises,0.0
amenity_dedicated_workspace_desk_and_office_chair,0.0
amenity_dedicated_workspace_desk,0.0
amenity_game_console_nintendo_wii,0.0
amenity_free_wifi,0.0
amenity_free_washer_in_building,0.0
amenity_free_dryer,0.0
amenity_free_dryer_in_building,0.0
amenity_dryer_in_unit,0.0
last_review_month,0.0
last_review_day,0.0
last_review_year,0.0
last_review_days_ago,0.0
first_review_year,0.0
first_review_month,0.0
first_review_day,0.0
first_review_days_ago,0.0
amenity_wifi_500_mbps,0.0
amenity_wifi_50_mbps,0.0
host_verifications_count,0.0
amenity_dedicated_workspace_office_chair_and_desk,0.0
amenity_dedicated_workspace_table_and_office_chair,0.0
amenity_dove_body_soap,0.0
amenity_dryer_in_building,0.0
amenity_hdtv_with_standard_cable,0.0
amenity_ping_pong_table,0.0
amenity_paid_washer_in_unit,0.0
amenity_paid_valet_parking_on_premises,0.0
amenity_paid_dryer_in_unit,0.0
amenity_paid_parking_garage_on_premises,0.0
amenity_paid_parking_garage_on_premises_1_space,0.0
amenity_paid_parking_garage_on_premises_60_spaces,0.0
amenity_paid_parking_lot_off_premises,0.0
amenity_outdoor_shower,0.0
amenity_minibar,0.0
