feature,importance
amenity_dishes_and_silverware,0.055354856
number_of_reviews,0.028151073
amenity_iron,0.027832268
amenity_coffee_maker,0.02621908
host_is_superhost,0.024862057
host_total_listings_count,0.02067027
amenity_hot_water,0.01999273
amenity_cooking_basics,0.01805453
host_listings_count,0.016751893
room_type,0.015913008
calculated_host_listings_count_entire_homes,0.015609154
calculated_host_listings_count,0.015431139
Average_price_per_person,0.014973073
amenity_oven,0.014780517
amenity_children_s_books_and_toys,0.014684095
amenity_hair_dryer,0.0145104015
reviews_per_month,0.013706028
amenity_long_term_stays_allowed,0.013007395
amenity_hot_water_kettle,0.0121180825
license,0.011016145
amenity_drying_rack_for_clothing,0.010435668
amenity_kitchen,0.0102958
amenity_smoke_alarm,0.010225072
amenity_dishwasher,0.010199617
amenity_paid_parking_off_premises,0.009844406
amenity_hot_tub,0.009448202
amenity_washer,0.00931812
maximum_nights,0.009151275
amenity_outlet_covers,0.009052704
amenity_host_greets_you,0.008765334
minimum_nights_avg_ntm,0.008665186
amenity_hangers,0.008434776
amenity_window_guards,0.0081717875
amenity_patio_or_balcony,0.008134226
amenity_room_darkening_shades,0.008014122
amenity_carbon_monoxide_alarm,0.007616531
amenity_first_aid_kit,0.0075937957
amenity_tv,0.0075640352
amenity_high_chair,0.0075625204
amenity_essentials,0.007233172
minimum_nights,0.0070607015
calculated_host_listings_count_private_rooms,0.0069216397
host_identity_verified,0.0069119525
has_availability,0.0068442393
availability_60,0.0068104845
amenity_cable_tv,0.006753041
amenity_breakfast,0.006737344
availability_30,0.006697706
host_response_rate,0.006652003
number_of_reviews_ltm,0.00654973
host_acceptance_rate,0.006532178
bathrooms,0.006349804
amenity_heating,0.0062636924
amenities,0.0061744475
amenity_private_entrance,0.006154804
amenity_tv_with_standard_cable,0.0060752993
amenity_bed_linens,0.006074472
amenity_mini_fridge,0.006041011
amenity_wifi,0.0060396437
amenity_dining_table,0.006029525
amenity_shower_gel,0.0059618857
