feature,importance
calculated_host_listings_count,0.0507306
amenity_heating,0.029816085
host_listings_count,0.028259315
number_of_reviews,0.023926117
calculated_host_listings_count_private_rooms,0.020613467
amenity_dishwasher,0.01836698
amenity_hot_water_kettle,0.016211782
amenity_wine_glasses,0.016201772
host_total_listings_count,0.015427366
host_is_superhost,0.013259565
amenity_tv_with_standard_cable,0.012557648
maximum_nights_avg_ntm,0.011827068
amenity_drying_rack_for_clothing,0.0113448445
amenity_blender,0.010754867
amenity_dryer,0.01050313
amenity_oven,0.010029762
reviews_per_month,0.009992436
amenity_shampoo,0.009741833
number_of_reviews_ltm,0.009526192
minimum_nights,0.009361919
amenity_hangers,0.009266177
amenity_tv,0.0090744905
number_of_reviews_l30d,0.008603831
amenity_freezer,0.008450535
amenity_induction_stove,0.008448767
price,0.008423581
amenity_cleaning_products,0.008346307
amenities,0.008226287
amenity_paid_street_parking_off_premises,0.008103399
room_type,0.008008669
amenity_outdoor_furniture,0.008005014
Average_price_per_person,0.007931065
maximum_nights,0.007900247
amenity_outdoor_dining_area,0.007879387
host_acceptance_rate,0.0077025928
amenity_boat_slip,0.007663659
minimum_nights_avg_ntm,0.0076155206
availability_60,0.007589846
amenity_sonos_bluetooth_sound_system,0.007537251
amenity_hair_dryer,0.0075012757
amenity_room_darkening_shades,0.007443563
availability_90,0.0071378048
availability_30,0.0071143126
neighbourhood_cleansed,0.007085907
amenity_toaster,0.0070469207
amenity_keypad,0.007038674
amenity_refrigerator,0.00696622
amenity_dishes_and_silverware,0.006923739
amenity_central_heating,0.006919815
amenity_iron,0.006878228
amenity_kitchen,0.006828501
amenity_extra_pillows_and_blankets,0.0067965793
amenity_free_dryer_in_unit,0.0067744395
amenity_free_washer_in_unit,0.0066920095
beds,0.006548328
amenity_clothing_storage_wardrobe,0.006461667
bathrooms_text,0.006451658
amenity_exterior_security_cameras_on_property,0.0063901925
availability_365,0.0063867653
amenity_board_games,0.006374728
amenity_luggage_dropoff_allowed,0.006317103
amenity_game_console,0.0062568146
amenity_private_entrance,0.0062534045
amenity_shower_gel,0.0062332614
amenity_fire_extinguisher,0.0062021865
amenity_dove_body_soap,0.0061808843
amenity_portable_heater,0.0060745925
host_response_rate,0.0060719997
host_response_time,0.0060120793
amenity_piano,0.006006698
amenity_bed_linens,0.0058419057
amenity_host_greets_you,0.0058401567
amenity_dining_table,0.0057362593
amenity_carbon_monoxide_alarm,0.005728213
amenity_microwave,0.0056848037
bathrooms,0.005684695
amenity_washer,0.0056395554
amenity_cleaning_available_during_stay,0.005589566
amenity_exercise_equipment_free_weights,0.005547619
accommodates,0.00550444
amenity_trash_compactor,0.00546386
amenity_coffee,0.0054340926
amenity_other_electric_stove,0.005314184
amenity_coffee_maker,0.0053100674
calculated_host_listings_count_entire_homes,0.0052899173
amenity_ev_charger,0.005216204
amenity_smoke_alarm,0.005213074
amenity_essentials,0.005212974
amenity_lake_access,0.0052044922
amenity_conditioner,0.005154695
amenity_private_patio_or_balcony,0.005151832
amenity_pets_allowed,0.005117089
amenity_bread_maker,0.0049151876
bedrooms,0.004912619
amenity_pocket_wifi,0.0048434623
amenity_indoor_fireplace,0.004828301
amenity_lockbox,0.00481166
amenity_bosch_refrigerator,0.0048033935
amenity_outdoor_playground,0.004797814
amenity_private_backyard_fully_fenced,0.0047964673
amenity_first_aid_kit,0.004788757
amenity_children_s_books_and_toys_for_ages_0_2_years_old_and_2_5_years_old,0.0047289487
amenity_laundromat_nearby,0.00465589
amenity_air_conditioning,0.004636361
amenity_portable_fans,0.004613333
amenity_cooking_basics,0.004550534
amenity_dryer_in_building,0.004516845
amenity_elevator,0.0045164027
amenity_lock_on_bedroom_door,0.004516335
amenity_record_player,0.0044930293
amenity_self_check_in,0.0044570933
amenity_standalone_high_chair_always_at_the_listing,0.0044553145
amenity_smart_lock,0.00445162
amenity_window_guards,0.0044392366
amenity_mini_fridge,0.004415864
amenity_bbq_grill,0.004388168
amenity_exercise_equipment,0.0043804827
amenity_bikes,0.0043287072
amenity_clothing_storage,0.004315902
amenity_free_dryer_in_building,0.0043120803
amenity_patio_or_balcony,0.0042793006
amenity_dedicated_workspace,0.004264891
amenity_stainless_steel_stove,0.004199902
amenity_courtyard_view,0.004196705
amenity_children_s_playroom,0.004195973
amenity_sound_system_with_aux,0.004156508
amenity_sound_system,0.0041258917
amenity_city_skyline_view,0.004048434
amenity_private_backyard_not_fully_fenced,0.004010574
amenity_pack_n_play_travel_crib,0.0038842638
amenity_stainless_steel_double_oven,0.0038637058
amenity_paid_parking_on_premises,0.0038165417
amenity_private_backyard,0.003808067
amenity_baby_safety_gates,0.0
amenity_babysitter_recommendations,0.0
amenity_backyard,0.0
amenity_backyard_fully_fenced,0.0
